#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::08 Futuro simple
#columns:Front,Back,Tags
#tags column:3
"How is the <b>futuro simple</b> formed?","<b>Whole infinitive</b> + é · ás · á · emos · éis · án<br><br>One set for all three conjugations. Accents on every form <b>except nosotros</b>.","futuro-simple formation"
"No sé si <b>podré</b> ir el sábado; te digo algo mañana.<br><i>Futuro simple</i>","I don't know if <b>I'll be able</b> to go on Saturday; I'll let you know tomorrow.<br><span style='font-size:85%'>poder — to be able to · yo · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"If I get the job, <b>I'll be able</b> to help you guys with the rent.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poder · yo)</span>","Si consigo el trabajo, <b>podré</b> ayudaros con el alquiler.<br><span style='font-size:85%'>poder — to be able to · yo · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Cuando tengas dieciocho años, <b>podrás</b> hacer lo que quieras.<br><i>Futuro simple</i>","When you're eighteen, <b>you'll be able</b> to do whatever you want.<br><span style='font-size:85%'>poder — to be able to · tú · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular es-en use-cuando"
"Don't worry, <b>you'll be able</b> to watch the match: I'll record it for you.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poder · tú)</span>","Tranquilo, <b>podrás</b> ver el partido: te lo grabo.<br><span style='font-size:85%'>poder — to be able to · tú · <i>promise / resolution</i></span>","futuro-simple irregular en-es use-promise"
"El público <b>podrá</b> visitar la exposición hasta el 30 de junio.<br><i>Futuro simple</i>","The public <b>will be able</b> to visit the exhibition until 30 June.<br><span style='font-size:85%'>poder — to be able to · él · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"With his knee injury, <b>he won't be able</b> to play on Sunday.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poder · él)</span>","Con la lesión de rodilla, no <b>podrá</b> jugar el domingo.<br><span style='font-size:85%'>poder — to be able to · él · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Si ahorramos un poco, <b>podremos</b> irnos de vacaciones en agosto.<br><i>Futuro simple</i>","If we save a bit, <b>we'll be able</b> to go on holiday in August.<br><span style='font-size:85%'>poder — to be able to · nosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular es-en use-si"
"When the kids are older, <b>we'll be able</b> to travel more.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poder · nosotros)</span>","Cuando los niños sean mayores, <b>podremos</b> viajar más.<br><span style='font-size:85%'>poder — to be able to · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Desde el balcón <b>podréis</b> ver los fuegos artificiales.<br><i>Futuro simple</i>","From the balcony <b>you guys will be able</b> to see the fireworks.<br><span style='font-size:85%'>poder — to be able to · vosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"(Teacher) <b>You may</b> leave once you've finished the exam.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poder · vosotros)</span>","<b>Podréis</b> salir cuando hayáis terminado el examen.<br><span style='font-size:85%'>poder — may, to be allowed to · vosotros · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"Si no arreglan el ascensor, los abuelos no <b>podrán</b> subir a casa.<br><i>Futuro simple</i>","If they don't fix the lift, my grandparents <b>won't be able</b> to get up to the flat.<br><span style='font-size:85%'>poder — to be able to · ellos · <i>result of si + present indicative</i></span>","futuro-simple irregular es-en use-si"
"<b>They'll never be able</b> to afford a flat in the centre.<br><i>Futuro simple</i><br><span style='font-size:80%'>(poder · ellos)</span>","Nunca <b>podrán</b> permitirse un piso en el centro.<br><span style='font-size:85%'>poder — to be able to · ellos · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Mañana ya <b>sabré</b> si me han dado el trabajo.<br><i>Futuro simple</i>","By tomorrow <b>I'll know</b> if I've got the job.<br><span style='font-size:85%'>saber — to know · yo · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"When the time comes, <b>I'll know</b> what to say.<br><i>Futuro simple</i><br><span style='font-size:80%'>(saber · yo)</span>","Cuando llegue el momento, <b>sabré</b> qué decir.<br><span style='font-size:85%'>saber — to know · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Ya <b>sabrás</b> que Marta se casa, ¿no?<br><i>Futuro simple</i>","I suppose <b>you know</b> Marta's getting married?<br><span style='font-size:85%'>saber — to know · tú · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"If you read the instructions, <b>you'll know</b> how to put it together yourself.<br><i>Futuro simple</i><br><span style='font-size:80%'>(saber · tú)</span>","Si lees las instrucciones, <b>sabrás</b> montarlo tú solo.<br><span style='font-size:85%'>saber — to know how to · tú · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Pregúntale a Luis, él <b>sabrá</b> dónde está la llave.<br><i>Futuro simple</i>","Ask Luis, <b>he'll know</b> where the key is.<br><span style='font-size:85%'>saber — to know · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"No one <b>will know</b>, I promise.<br><i>Futuro simple</i><br><span style='font-size:80%'>(saber · él)</span>","Nadie lo <b>sabrá</b>, te lo prometo.<br><span style='font-size:85%'>saber — to know · él · <i>promise / resolution</i></span>","futuro-simple irregular en-es use-promise"
"Hasta el lunes no <b>sabremos</b> nada.<br><i>Futuro simple</i>","<b>We won't know</b> anything until Monday.<br><span style='font-size:85%'>saber — to know · nosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"When the marks come out, <b>we'll know</b> whether it was worth it.<br><i>Futuro simple</i><br><span style='font-size:80%'>(saber · nosotros)</span>","Cuando salgan las notas, <b>sabremos</b> si ha merecido la pena.<br><span style='font-size:85%'>saber — to know · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Ya <b>sabréis</b> que cerramos en agosto.<br><i>Futuro simple</i>","I expect <b>you guys know</b> we're closed in August.<br><span style='font-size:85%'>saber — to know · vosotros · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"<b>You'll find out</b> soon, you two, don't be so impatient.<br><i>Futuro simple</i><br><span style='font-size:80%'>(saber · vosotros)</span>","Pronto lo <b>sabréis</b>, no seáis impacientes.<br><span style='font-size:85%'>saber — to find out · vosotros · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Los candidatos <b>sabrán</b> el resultado en un plazo de diez días.<br><i>Futuro simple</i>","Candidates <b>will know</b> the outcome within ten days.<br><span style='font-size:85%'>saber — to know · ellos · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"My parents <b>must know</b> by now; in my village everyone knows everything.<br><i>Futuro simple</i><br><span style='font-size:80%'>(saber · ellos)</span>","Mis padres ya lo <b>sabrán</b>; en mi pueblo todo se sabe.<br><span style='font-size:85%'>saber — to know · ellos · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
"<b>Habré</b> de buscar otro trabajo si cierran la oficina.<br><i>Futuro simple</i>","<b>I'll have to</b> look for another job if they close the office.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · yo · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular es-en use-haber-de"
"<b>I'll have to</b> tell him the truth sooner or later.<br><i>Futuro simple</i><br><span style='font-size:80%'>(haber · yo)</span>","Tarde o temprano <b>habré</b> de decirle la verdad.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · yo · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular en-es use-haber-de"
"<b>Habrás</b> de tener paciencia con el nuevo jefe.<br><i>Futuro simple</i>","<b>You'll have to</b> be patient with the new boss.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · tú · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular es-en use-haber-de"
"If you want to pass, <b>you'll have to</b> study every day.<br><i>Futuro simple</i><br><span style='font-size:80%'>(haber · tú)</span>","Si quieres aprobar, <b>habrás</b> de estudiar todos los días.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · tú · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular en-es use-haber-de"
"Mañana <b>habrá</b> tormentas en el norte.<br><i>Futuro simple</i>","<b>There will be</b> storms in the north tomorrow.<br><span style='font-size:85%'>haber — there is / there are (impersonal) · impersonal · <i>impersonal haber: there is / was / will be…</i></span>","futuro-simple irregular es-en use-existential"
"<b>There'll be</b> loads of traffic on Friday, it's a long weekend.<br><i>Futuro simple</i><br><span style='font-size:80%'>(haber · impersonal)</span>","El viernes <b>habrá</b> mucho tráfico, que es puente.<br><span style='font-size:85%'>haber — there is / there are (impersonal) · impersonal · <i>impersonal haber: there is / was / will be…</i></span>","futuro-simple irregular en-es use-existential"
"Si sube el alquiler, <b>habremos</b> de mudarnos.<br><i>Futuro simple</i>","If the rent goes up, <b>we'll have to</b> move.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · nosotros · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular es-en use-haber-de"
"<b>We'll have to</b> get up early to catch the plane.<br><i>Futuro simple</i><br><span style='font-size:80%'>(haber · nosotros)</span>","<b>Habremos</b> de madrugar para coger el avión.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · nosotros · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular en-es use-haber-de"
"<b>Habréis</b> de enseñar el DNI en la entrada.<br><i>Futuro simple</i>","<b>You guys will have to</b> show your ID at the entrance.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · vosotros · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular es-en use-haber-de"
"<b>You two will have to</b> share a room.<br><i>Futuro simple</i><br><span style='font-size:80%'>(haber · vosotros)</span>","<b>Habréis</b> de compartir habitación.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · vosotros · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular en-es use-haber-de"
"Los pasajeros <b>habrán</b> de facturar el equipaje antes de las diez.<br><i>Futuro simple</i>","Passengers <b>will have to</b> check in their luggage before ten.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · ellos · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular es-en use-haber-de"
"<b>They'll have to</b> wait until Monday for the results.<br><i>Futuro simple</i><br><span style='font-size:80%'>(haber · ellos)</span>","<b>Habrán</b> de esperar hasta el lunes para los resultados.<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · ellos · <i>haber de + infinitive: have to / must</i></span>","futuro-simple irregular en-es use-haber-de"
"Con todo lo que he comido, no <b>cabré</b> en el vestido.<br><i>Futuro simple</i>","After everything I've eaten, <b>I won't fit</b> into the dress.<br><span style='font-size:85%'>caber — to fit · yo · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"If I hold my stomach in, <b>I'll fit</b>.<br><i>Futuro simple</i><br><span style='font-size:80%'>(caber · yo)</span>","Si meto tripa, <b>cabré</b>.<br><span style='font-size:85%'>caber — to fit · yo · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Tranquilo, en el asiento de atrás <b>cabrás</b> de sobra.<br><i>Futuro simple</i>","Don't worry, <b>you'll easily fit</b> in the back seat.<br><span style='font-size:85%'>caber — to fit · tú · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"If you take your rucksack off, <b>you'll fit</b> through the gap.<br><i>Futuro simple</i><br><span style='font-size:80%'>(caber · tú)</span>","Si te quitas la mochila, <b>cabrás</b> por el hueco.<br><span style='font-size:85%'>caber — to fit · tú · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"¿<b>Cabrá</b> el sofá por la puerta?<br><i>Futuro simple</i>","<b>Will</b> the sofa <b>fit</b> through the door, I wonder?<br><span style='font-size:85%'>caber — to fit · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"That fridge <b>won't fit</b> in such a small kitchen.<br><i>Futuro simple</i><br><span style='font-size:80%'>(caber · ella)</span>","Esa nevera no <b>cabrá</b> en una cocina tan pequeña.<br><span style='font-size:85%'>caber — to fit · ella · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Si vamos en dos coches, <b>cabremos</b> todos.<br><i>Futuro simple</i>","If we take two cars, <b>we'll all fit</b>.<br><span style='font-size:85%'>caber — to fit · nosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular es-en use-si"
"<b>We won't all fit</b> in the lift; you guys go up first.<br><i>Futuro simple</i><br><span style='font-size:80%'>(caber · nosotros)</span>","No <b>cabremos</b> todos en el ascensor; subid vosotros primero.<br><span style='font-size:85%'>caber — to fit · nosotros · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"¿<b>Cabréis</b> los cuatro en el sofá cama?<br><i>Futuro simple</i>","<b>Will</b> the four of you <b>fit</b> on the sofa bed?<br><span style='font-size:85%'>caber — to fit · vosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"If you squeeze up a bit, <b>you'll all fit</b>.<br><i>Futuro simple</i><br><span style='font-size:80%'>(caber · vosotros)</span>","Si os apretáis un poco, <b>cabréis</b> todos.<br><span style='font-size:85%'>caber — to fit · vosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"En el nuevo auditorio <b>cabrán</b> más de mil personas.<br><i>Futuro simple</i>","The new auditorium <b>will hold</b> over a thousand people.<br><span style='font-size:85%'>caber — to fit, to hold · ellas · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"<b>There must be</b> room for about fifty people in here.<br><i>Futuro simple</i><br><span style='font-size:80%'>(caber · ellas)</span>","Aquí <b>cabrán</b> unas cincuenta personas.<br><span style='font-size:85%'>caber — to fit · ellas · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
"Después de esta semana, no <b>querré</b> ver un ordenador en mi vida.<br><i>Futuro simple</i>","After this week, <b>I won't want</b> to see a computer ever again.<br><span style='font-size:85%'>querer — to want · yo · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"Knowing me, <b>I'll want</b> dessert for sure.<br><i>Futuro simple</i><br><span style='font-size:80%'>(querer · yo)</span>","Conociéndome, seguro que <b>querré</b> postre.<br><span style='font-size:85%'>querer — to want · yo · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Cuando lo pruebes, <b>querrás</b> repetir.<br><i>Futuro simple</i>","Once you try it, <b>you'll want</b> seconds.<br><span style='font-size:85%'>querer — to want · tú · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular es-en use-cuando"
"<b>You'll want</b> a coffee, won't you?<br><i>Futuro simple</i><br><span style='font-size:80%'>(querer · tú)</span>","<b>Querrás</b> un café, ¿no?<br><span style='font-size:85%'>querer — to want · tú · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
"¿Qué <b>querrá</b> ahora el jefe? Me ha llamado tres veces.<br><i>Futuro simple</i>","What <b>can</b> the boss <b>want</b> now? He's called me three times.<br><span style='font-size:85%'>querer — to want · él · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"If her ex is going, <b>she won't want</b> to come.<br><i>Futuro simple</i><br><span style='font-size:80%'>(querer · ella)</span>","Si va su ex, no <b>querrá</b> venir.<br><span style='font-size:85%'>querer — to want · ella · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"Con este calor, <b>querremos</b> estar en la piscina todo el día.<br><i>Futuro simple</i>","In this heat, <b>we'll want</b> to spend all day in the pool.<br><span style='font-size:85%'>querer — to want · nosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"When the kids leave home, <b>we'll want</b> a smaller flat.<br><i>Futuro simple</i><br><span style='font-size:80%'>(querer · nosotros)</span>","Cuando los niños se vayan de casa, <b>querremos</b> un piso más pequeño.<br><span style='font-size:85%'>querer — to want · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"<b>Querréis</b> descansar después del viaje.<br><i>Futuro simple</i>","<b>You guys will want</b> to rest after the journey.<br><span style='font-size:85%'>querer — to want · vosotros · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"When you two see the flat, <b>you'll want</b> to buy it.<br><i>Futuro simple</i><br><span style='font-size:80%'>(querer · vosotros)</span>","Cuando veáis el piso, <b>querréis</b> comprarlo.<br><span style='font-size:85%'>querer — to want · vosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Tus padres <b>querrán</b> saber cómo te ha ido la entrevista.<br><i>Futuro simple</i>","Your parents <b>will want</b> to know how the interview went.<br><span style='font-size:85%'>querer — to want · ellos · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular es-en use-conjecture"
"If we tell the kids, <b>they'll want</b> to come too.<br><i>Futuro simple</i><br><span style='font-size:80%'>(querer · ellos)</span>","Si se lo decimos a los niños, <b>querrán</b> venir también.<br><span style='font-size:85%'>querer — to want · ellos · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"No se lo <b>diré</b> a nadie, te lo prometo.<br><i>Futuro simple</i>","<b>I won't tell</b> anyone, I promise.<br><span style='font-size:85%'>decir — to say, to tell · yo · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"<b>I'll tell</b> you when I know more.<br><i>Futuro simple</i><br><span style='font-size:80%'>(decir · yo)</span>","Te lo <b>diré</b> cuando sepa algo más.<br><span style='font-size:85%'>decir — to say, to tell · yo · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"Y ahora me <b>dirás</b> que no sabías nada, ¿no?<br><i>Futuro simple</i>","And now <b>you'll tell</b> me you didn't know anything, right?<br><span style='font-size:85%'>decir — to say, to tell · tú · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"<b>You'll tell</b> your sister you're sorry, right now.<br><i>Futuro simple</i><br><span style='font-size:80%'>(decir · tú)</span>","Le <b>dirás</b> a tu hermana que lo sientes, ahora mismo.<br><span style='font-size:85%'>decir — to say, to tell · tú · <i>emphatic command</i></span>","futuro-simple irregular en-es use-command"
"¿Qué <b>dirá</b> mi madre cuando se entere?<br><i>Futuro simple</i>","What <b>will</b> my mum <b>say</b> when she finds out?<br><span style='font-size:85%'>decir — to say, to tell · ella · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular es-en use-cuando"
"The spokesman <b>won't say</b> anything until tomorrow.<br><i>Futuro simple</i><br><span style='font-size:80%'>(decir · él)</span>","El portavoz no <b>dirá</b> nada hasta mañana.<br><span style='font-size:85%'>decir — to say, to tell · él · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"No os preocupéis, no le <b>diremos</b> nada a papá.<br><i>Futuro simple</i>","Don't worry, <b>we won't say</b> anything to Dad.<br><span style='font-size:85%'>decir — to say, to tell · nosotros · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"If they ask, <b>we'll say</b> we were at the library.<br><i>Futuro simple</i><br><span style='font-size:80%'>(decir · nosotros)</span>","Si preguntan, <b>diremos</b> que estábamos en la biblioteca.<br><span style='font-size:85%'>decir — to say, to tell · nosotros · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"<b>Diréis</b> que estoy loco, pero me voy a vivir a Islandia.<br><i>Futuro simple</i>","<b>You guys will say</b> I'm mad, but I'm moving to Iceland.<br><span style='font-size:85%'>decir — to say, to tell · vosotros · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"When you guys try it, <b>you'll tell</b> me it's the best paella you've ever had.<br><i>Futuro simple</i><br><span style='font-size:80%'>(decir · vosotros)</span>","Cuando la probéis, me <b>diréis</b> que es la mejor paella de vuestra vida.<br><span style='font-size:85%'>decir — to say, to tell · vosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular en-es use-cuando"
"¿Qué <b>dirán</b> los vecinos?<br><i>Futuro simple</i>","What <b>will</b> the neighbours <b>say</b>?<br><span style='font-size:85%'>decir — to say, to tell · ellos · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"(At the airport) <b>They'll tell</b> us the gate twenty minutes beforehand.<br><i>Futuro simple</i><br><span style='font-size:80%'>(decir · ellos)</span>","Nos <b>dirán</b> la puerta de embarque veinte minutos antes.<br><span style='font-size:85%'>decir — to say, to tell · ellos · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"Esta noche <b>haré</b> yo la cena; tú descansa.<br><i>Futuro simple</i>","<b>I'll make</b> dinner tonight; you have a rest.<br><span style='font-size:85%'>hacer — to do, to make · yo · <i>promise / resolution</i></span>","futuro-simple irregular es-en use-promise"
"If I have time, <b>I'll do</b> the food shopping.<br><i>Futuro simple</i><br><span style='font-size:80%'>(hacer · yo)</span>","Si me da tiempo, <b>haré</b> la compra.<br><span style='font-size:85%'>hacer — to do, to make · yo · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"<b>Harás</b> los deberes antes de ver la tele.<br><i>Futuro simple</i>","<b>You will do</b> your homework before you watch TV.<br><span style='font-size:85%'>hacer — to do, to make · tú · <i>emphatic command</i></span>","futuro-simple irregular es-en use-command"
"<b>You'll make</b> lots of friends there, you'll see.<br><i>Futuro simple</i><br><span style='font-size:80%'>(hacer · tú)</span>","<b>Harás</b> muchos amigos allí, ya verás.<br><span style='font-size:85%'>hacer — to do, to make · tú · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"Mañana <b>hará</b> un calor insoportable.<br><i>Futuro simple</i>","<b>It'll be</b> unbearably hot tomorrow.<br><span style='font-size:85%'>hacer — to be (weather) · impersonal · <i>prediction</i></span>","futuro-simple irregular es-en use-prediction"
"<b>It must be</b> about two years since I last saw him.<br><i>Futuro simple</i><br><span style='font-size:80%'>(hacer · impersonal)</span>","<b>Hará</b> unos dos años que no lo veo.<br><span style='font-size:85%'>hacer — to be (time ago: hace…) · impersonal · <i>conjecture / probability (not about the future)</i></span>","futuro-simple irregular en-es use-conjecture"
"Cuando vengan tus padres, <b>haremos</b> una paella.<br><i>Futuro simple</i>","When your parents come, <b>we'll make</b> a paella.<br><span style='font-size:85%'>hacer — to do, to make · nosotros · <i>main clause after cuando / en cuanto + subjunctive</i></span>","futuro-simple irregular es-en use-cuando"
"<b>We will do</b> everything possible to resolve the issue.<br><i>Futuro simple</i><br><span style='font-size:80%'>(hacer · nosotros)</span>","<b>Haremos</b> todo lo posible por solucionar el problema.<br><span style='font-size:85%'>hacer — to do, to make · nosotros · <i>future event: formal register / announcement</i></span>","futuro-simple irregular en-es use-formal"
"<b>Haréis</b> lo que os diga yo, que para eso soy vuestra madre.<br><i>Futuro simple</i>","<b>You'll do</b> as I say, you two: I'm your mother, after all.<br><span style='font-size:85%'>hacer — to do, to make · vosotros · <i>emphatic command</i></span>","futuro-simple irregular es-en use-command"
"<b>You guys will do</b> brilliantly in the exam, you'll see.<br><i>Futuro simple</i><br><span style='font-size:80%'>(hacer · vosotros)</span>","Lo <b>haréis</b> genial en el examen, ya veréis.<br><span style='font-size:85%'>hacer — to do, to make · vosotros · <i>prediction</i></span>","futuro-simple irregular en-es use-prediction"
"<b>Harán</b> obras en la estación todo el verano.<br><i>Futuro simple</i>","<b>They'll be doing</b> building work at the station all summer.<br><span style='font-size:85%'>hacer — to do (hacer obras: to carry out works) · ellos · <i>future event: formal register / announcement</i></span>","futuro-simple irregular es-en use-formal"
"If it doesn't rain, <b>they'll have</b> a barbecue in the garden.<br><i>Futuro simple</i><br><span style='font-size:80%'>(hacer · ellos)</span>","Si no llueve, <b>harán</b> una barbacoa en el jardín.<br><span style='font-size:85%'>hacer — to do, to make · ellos · <i>result of si + present indicative</i></span>","futuro-simple irregular en-es use-si"
"The twelve <b>irregular future / conditional stems</b>","<table><tr><td>tener</td><td><b>tendr-</b></td></tr><tr><td>poner</td><td><b>pondr-</b></td></tr><tr><td>venir</td><td><b>vendr-</b></td></tr><tr><td>salir</td><td><b>saldr-</b></td></tr><tr><td>valer</td><td><b>valdr-</b></td></tr><tr><td>poder</td><td><b>podr-</b></td></tr><tr><td>saber</td><td><b>sabr-</b></td></tr><tr><td>haber</td><td><b>habr-</b></td></tr><tr><td>caber</td><td><b>cabr-</b></td></tr><tr><td>querer</td><td><b>querr-</b></td></tr><tr><td>decir</td><td><b>dir-</b></td></tr><tr><td>hacer</td><td><b>har-</b></td></tr></table><br>Three groups: <b>drop a vowel</b> (podr-, sabr-, habr-, cabr-, querr-), <b>insert a d</b> (tendr-, pondr-, vendr-, saldr-, valdr-), <b>two rogues</b> (dir-, har-).","futuro-simple irregular pattern"
"<b>When and why</b> do you use the<br><i>Futuro simple</i>?","<ul><li><b>Future events, formal or written register</b> — <i>el acto comenzará a las nueve.</i> News, announcements, schedules.</li><li><b>Predictions</b> — <i>lloverá mañana.</i></li><li><b>Promises</b> — <i>te lo devolveré.</i></li><li><b>Conjecture about the present</b> — <i>¿qué hora será?; estará en casa.</i> The use you meet most in conversation — not about the future at all.</li><li><b>Emphatic commands</b> — <i>no matarás.</i></li></ul>In speech, <i>voy a hablar</i> handles most near, planned futures. The simple future sounds more distant or formal.","futuro-simple usage concept"
"<b>Tricks and tips</b> for the<br><i>Futuro simple</i>","<ul><li><b>The endings are the present tense of <i>haber</i></b> trimmed down (he, has, ha, hemos, habéis, han). Historically the future <i>was</i> infinitive + haber fused — which is why the stem is the whole infinitive.</li><li><b>Accents on every form except nosotros.</b></li><li><b>Same twelve stems as the conditional.</b></li><li><i>Habrá</i> = 'there will be', the future of <i>hay</i>.</li></ul>","futuro-simple tips concept"
