#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::02 Pretérito perfecto simple
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Pretérito perfecto simple</i>","<b>-ar</b>: é · aste · ó · amos · asteis · aron<br><b>-er / -ir</b>: í · iste · ió · imos · isteis · ieron<br><b>Strong (irregular stem)</b>: e · iste · o · imos · isteis · ieron — <b>no accents</b>","preterito-indefinido endings"
"<b>pusieron</b><br><i>Pretérito perfecto simple</i>","<b>they put</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they put</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pusieron</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>supe</b><br><i>Pretérito perfecto simple</i>","<b>I knew</b><br><span style='font-size:85%'>saber — to know (a fact) · yo</span>","preterito-indefinido irregular es-en"
"<b>I knew</b><br><span style='font-size:80%'>[a fact]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>supe</b><br><span style='font-size:85%'>saber — to know (a fact) · yo</span>","preterito-indefinido irregular en-es"
"<b>supiste</b><br><i>Pretérito perfecto simple</i>","<b>you knew</b><br><span style='font-size:85%'>saber — to know (a fact) · tú</span>","preterito-indefinido irregular es-en"
"<b>you knew</b><br><span style='font-size:80%'>[a fact]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>supiste</b><br><span style='font-size:85%'>saber — to know (a fact) · tú</span>","preterito-indefinido irregular en-es"
"<b>supo</b><br><i>Pretérito perfecto simple</i>","<b>he/she knew</b><br><span style='font-size:85%'>saber — to know (a fact) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she knew</b><br><span style='font-size:80%'>[a fact]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>supo</b><br><span style='font-size:85%'>saber — to know (a fact) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>supimos</b><br><i>Pretérito perfecto simple</i>","<b>we knew</b><br><span style='font-size:85%'>saber — to know (a fact) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we knew</b><br><span style='font-size:80%'>[a fact]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>supimos</b><br><span style='font-size:85%'>saber — to know (a fact) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>supisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all knew</b><br><span style='font-size:85%'>saber — to know (a fact) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all knew</b><br><span style='font-size:80%'>[a fact]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>supisteis</b><br><span style='font-size:85%'>saber — to know (a fact) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>supieron</b><br><i>Pretérito perfecto simple</i>","<b>they knew</b><br><span style='font-size:85%'>saber — to know (a fact) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they knew</b><br><span style='font-size:80%'>[a fact]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>supieron</b><br><span style='font-size:85%'>saber — to know (a fact) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>quise</b><br><i>Pretérito perfecto simple</i>","<b>I wanted</b><br><span style='font-size:85%'>querer — to want · yo</span>","preterito-indefinido irregular es-en"
"<b>I wanted</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>quise</b><br><span style='font-size:85%'>querer — to want · yo</span>","preterito-indefinido irregular en-es"
"<b>quisiste</b><br><i>Pretérito perfecto simple</i>","<b>you wanted</b><br><span style='font-size:85%'>querer — to want · tú</span>","preterito-indefinido irregular es-en"
"<b>you wanted</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>quisiste</b><br><span style='font-size:85%'>querer — to want · tú</span>","preterito-indefinido irregular en-es"
"<b>quiso</b><br><i>Pretérito perfecto simple</i>","<b>he/she wanted</b><br><span style='font-size:85%'>querer — to want · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she wanted</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>quiso</b><br><span style='font-size:85%'>querer — to want · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>quisimos</b><br><i>Pretérito perfecto simple</i>","<b>we wanted</b><br><span style='font-size:85%'>querer — to want · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we wanted</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>quisimos</b><br><span style='font-size:85%'>querer — to want · nosotros</span>","preterito-indefinido irregular en-es"
"<b>quisisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all wanted</b><br><span style='font-size:85%'>querer — to want · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all wanted</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>quisisteis</b><br><span style='font-size:85%'>querer — to want · vosotros</span>","preterito-indefinido irregular en-es"
"<b>quisieron</b><br><i>Pretérito perfecto simple</i>","<b>they wanted</b><br><span style='font-size:85%'>querer — to want · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they wanted</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>quisieron</b><br><span style='font-size:85%'>querer — to want · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>vine</b><br><i>Pretérito perfecto simple</i>","<b>I came</b><br><span style='font-size:85%'>venir — to come · yo</span>","preterito-indefinido irregular es-en"
"<b>I came</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vine</b><br><span style='font-size:85%'>venir — to come · yo</span>","preterito-indefinido irregular en-es"
"<b>viniste</b><br><i>Pretérito perfecto simple</i>","<b>you came</b><br><span style='font-size:85%'>venir — to come · tú</span>","preterito-indefinido irregular es-en"
"<b>you came</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>viniste</b><br><span style='font-size:85%'>venir — to come · tú</span>","preterito-indefinido irregular en-es"
"<b>vino</b><br><i>Pretérito perfecto simple</i>","<b>he/she came</b><br><span style='font-size:85%'>venir — to come · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she came</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vino</b><br><span style='font-size:85%'>venir — to come · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>vinimos</b><br><i>Pretérito perfecto simple</i>","<b>we came</b><br><span style='font-size:85%'>venir — to come · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we came</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vinimos</b><br><span style='font-size:85%'>venir — to come · nosotros</span>","preterito-indefinido irregular en-es"
"<b>vinisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all came</b><br><span style='font-size:85%'>venir — to come · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all came</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vinisteis</b><br><span style='font-size:85%'>venir — to come · vosotros</span>","preterito-indefinido irregular en-es"
"<b>vinieron</b><br><i>Pretérito perfecto simple</i>","<b>they came</b><br><span style='font-size:85%'>venir — to come · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they came</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>vinieron</b><br><span style='font-size:85%'>venir — to come · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>hube</b><br><i>Pretérito perfecto simple</i>","<b>I had</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · yo</span>","preterito-indefinido irregular es-en"
"<b>I had</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hube</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · yo</span>","preterito-indefinido irregular en-es"
"<b>hubiste</b><br><i>Pretérito perfecto simple</i>","<b>you had</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · tú</span>","preterito-indefinido irregular es-en"
"<b>you had</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hubiste</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · tú</span>","preterito-indefinido irregular en-es"
"<b>hubo</b><br><i>Pretérito perfecto simple</i>","<b>he/she had</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she had</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hubo</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>hubimos</b><br><i>Pretérito perfecto simple</i>","<b>we had</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we had</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hubimos</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>hubisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all had</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all had</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hubisteis</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>hubieron</b><br><i>Pretérito perfecto simple</i>","<b>they had</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they had</b><br><span style='font-size:80%'>[auxiliary — used with a participle]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hubieron</b><br><span style='font-size:85%'>haber — to have (auxiliary — used with a participle) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>hice</b><br><i>Pretérito perfecto simple</i>","<b>I did</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","preterito-indefinido irregular es-en"
"<b>I did</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hice</b><br><span style='font-size:85%'>hacer — to do (do or make) · yo</span>","preterito-indefinido irregular en-es"
"<b>hiciste</b><br><i>Pretérito perfecto simple</i>","<b>you did</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","preterito-indefinido irregular es-en"
"<b>you did</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hiciste</b><br><span style='font-size:85%'>hacer — to do (do or make) · tú</span>","preterito-indefinido irregular en-es"
"<b>hizo</b><br><i>Pretérito perfecto simple</i>","<b>he/she did</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she did</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hizo</b><br><span style='font-size:85%'>hacer — to do (do or make) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>hicimos</b><br><i>Pretérito perfecto simple</i>","<b>we did</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we did</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hicimos</b><br><span style='font-size:85%'>hacer — to do (do or make) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>hicisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all did</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all did</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hicisteis</b><br><span style='font-size:85%'>hacer — to do (do or make) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>hicieron</b><br><i>Pretérito perfecto simple</i>","<b>they did</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they did</b><br><span style='font-size:80%'>[do or make]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>hicieron</b><br><span style='font-size:85%'>hacer — to do (do or make) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>dije</b><br><i>Pretérito perfecto simple</i>","<b>I said</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","preterito-indefinido irregular es-en"
"<b>I said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dije</b><br><span style='font-size:85%'>decir — to say (say or tell) · yo</span>","preterito-indefinido irregular en-es"
"<b>dijiste</b><br><i>Pretérito perfecto simple</i>","<b>you said</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","preterito-indefinido irregular es-en"
"<b>you said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dijiste</b><br><span style='font-size:85%'>decir — to say (say or tell) · tú</span>","preterito-indefinido irregular en-es"
"<b>dijo</b><br><i>Pretérito perfecto simple</i>","<b>he/she said</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dijo</b><br><span style='font-size:85%'>decir — to say (say or tell) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>dijimos</b><br><i>Pretérito perfecto simple</i>","<b>we said</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dijimos</b><br><span style='font-size:85%'>decir — to say (say or tell) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>dijisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all said</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dijisteis</b><br><span style='font-size:85%'>decir — to say (say or tell) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>dijeron</b><br><i>Pretérito perfecto simple</i>","<b>they said</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they said</b><br><span style='font-size:80%'>[say or tell]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dijeron</b><br><span style='font-size:85%'>decir — to say (say or tell) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>traje</b><br><i>Pretérito perfecto simple</i>","<b>I brought</b><br><span style='font-size:85%'>traer — to bring · yo</span>","preterito-indefinido irregular es-en"
"<b>I brought</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>traje</b><br><span style='font-size:85%'>traer — to bring · yo</span>","preterito-indefinido irregular en-es"
"<b>trajiste</b><br><i>Pretérito perfecto simple</i>","<b>you brought</b><br><span style='font-size:85%'>traer — to bring · tú</span>","preterito-indefinido irregular es-en"
"<b>you brought</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>trajiste</b><br><span style='font-size:85%'>traer — to bring · tú</span>","preterito-indefinido irregular en-es"
"<b>trajo</b><br><i>Pretérito perfecto simple</i>","<b>he/she brought</b><br><span style='font-size:85%'>traer — to bring · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she brought</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>trajo</b><br><span style='font-size:85%'>traer — to bring · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>trajimos</b><br><i>Pretérito perfecto simple</i>","<b>we brought</b><br><span style='font-size:85%'>traer — to bring · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we brought</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>trajimos</b><br><span style='font-size:85%'>traer — to bring · nosotros</span>","preterito-indefinido irregular en-es"
"<b>trajisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all brought</b><br><span style='font-size:85%'>traer — to bring · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all brought</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>trajisteis</b><br><span style='font-size:85%'>traer — to bring · vosotros</span>","preterito-indefinido irregular en-es"
"<b>trajeron</b><br><i>Pretérito perfecto simple</i>","<b>they brought</b><br><span style='font-size:85%'>traer — to bring · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they brought</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>trajeron</b><br><span style='font-size:85%'>traer — to bring · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>conduje</b><br><i>Pretérito perfecto simple</i>","<b>I drove</b><br><span style='font-size:85%'>conducir — to drive · yo</span>","preterito-indefinido irregular es-en"
"<b>I drove</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>conduje</b><br><span style='font-size:85%'>conducir — to drive · yo</span>","preterito-indefinido irregular en-es"
"<b>condujiste</b><br><i>Pretérito perfecto simple</i>","<b>you drove</b><br><span style='font-size:85%'>conducir — to drive · tú</span>","preterito-indefinido irregular es-en"
"<b>you drove</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>condujiste</b><br><span style='font-size:85%'>conducir — to drive · tú</span>","preterito-indefinido irregular en-es"
"<b>condujo</b><br><i>Pretérito perfecto simple</i>","<b>he/she drove</b><br><span style='font-size:85%'>conducir — to drive · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she drove</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>condujo</b><br><span style='font-size:85%'>conducir — to drive · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>condujimos</b><br><i>Pretérito perfecto simple</i>","<b>we drove</b><br><span style='font-size:85%'>conducir — to drive · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we drove</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>condujimos</b><br><span style='font-size:85%'>conducir — to drive · nosotros</span>","preterito-indefinido irregular en-es"
"<b>condujisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all drove</b><br><span style='font-size:85%'>conducir — to drive · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all drove</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>condujisteis</b><br><span style='font-size:85%'>conducir — to drive · vosotros</span>","preterito-indefinido irregular en-es"
"<b>condujeron</b><br><i>Pretérito perfecto simple</i>","<b>they drove</b><br><span style='font-size:85%'>conducir — to drive · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they drove</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>condujeron</b><br><span style='font-size:85%'>conducir — to drive · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>pedí</b><br><i>Pretérito perfecto simple</i>","<b>I asked for</b><br><span style='font-size:85%'>pedir — to ask for (request) · yo</span>","preterito-indefinido irregular es-en"
"<b>I asked for</b><br><span style='font-size:80%'>[request]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pedí</b><br><span style='font-size:85%'>pedir — to ask for (request) · yo</span>","preterito-indefinido irregular en-es"
"<b>pediste</b><br><i>Pretérito perfecto simple</i>","<b>you asked for</b><br><span style='font-size:85%'>pedir — to ask for (request) · tú</span>","preterito-indefinido irregular es-en"
"<b>you asked for</b><br><span style='font-size:80%'>[request]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pediste</b><br><span style='font-size:85%'>pedir — to ask for (request) · tú</span>","preterito-indefinido irregular en-es"
"<b>pidió</b><br><i>Pretérito perfecto simple</i>","<b>he/she asked for</b><br><span style='font-size:85%'>pedir — to ask for (request) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she asked for</b><br><span style='font-size:80%'>[request]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pidió</b><br><span style='font-size:85%'>pedir — to ask for (request) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>pedimos</b><br><i>Pretérito perfecto simple</i>","<b>we asked for</b><br><span style='font-size:85%'>pedir — to ask for (request) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we asked for</b><br><span style='font-size:80%'>[request]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pedimos</b><br><span style='font-size:85%'>pedir — to ask for (request) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>pedisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all asked for</b><br><span style='font-size:85%'>pedir — to ask for (request) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all asked for</b><br><span style='font-size:80%'>[request]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pedisteis</b><br><span style='font-size:85%'>pedir — to ask for (request) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>pidieron</b><br><i>Pretérito perfecto simple</i>","<b>they asked for</b><br><span style='font-size:85%'>pedir — to ask for (request) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they asked for</b><br><span style='font-size:80%'>[request]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>pidieron</b><br><span style='font-size:85%'>pedir — to ask for (request) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>dormí</b><br><i>Pretérito perfecto simple</i>","<b>I slept</b><br><span style='font-size:85%'>dormir — to sleep · yo</span>","preterito-indefinido irregular es-en"
"<b>I slept</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dormí</b><br><span style='font-size:85%'>dormir — to sleep · yo</span>","preterito-indefinido irregular en-es"
"<b>dormiste</b><br><i>Pretérito perfecto simple</i>","<b>you slept</b><br><span style='font-size:85%'>dormir — to sleep · tú</span>","preterito-indefinido irregular es-en"
"<b>you slept</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dormiste</b><br><span style='font-size:85%'>dormir — to sleep · tú</span>","preterito-indefinido irregular en-es"
"<b>durmió</b><br><i>Pretérito perfecto simple</i>","<b>he/she slept</b><br><span style='font-size:85%'>dormir — to sleep · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she slept</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>durmió</b><br><span style='font-size:85%'>dormir — to sleep · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>dormimos</b><br><i>Pretérito perfecto simple</i>","<b>we slept</b><br><span style='font-size:85%'>dormir — to sleep · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we slept</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dormimos</b><br><span style='font-size:85%'>dormir — to sleep · nosotros</span>","preterito-indefinido irregular en-es"
"<b>dormisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all slept</b><br><span style='font-size:85%'>dormir — to sleep · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all slept</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>dormisteis</b><br><span style='font-size:85%'>dormir — to sleep · vosotros</span>","preterito-indefinido irregular en-es"
"<b>durmieron</b><br><i>Pretérito perfecto simple</i>","<b>they slept</b><br><span style='font-size:85%'>dormir — to sleep · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they slept</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>durmieron</b><br><span style='font-size:85%'>dormir — to sleep · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>sentí</b><br><i>Pretérito perfecto simple</i>","<b>I felt</b><br><span style='font-size:85%'>sentir — to feel · yo</span>","preterito-indefinido irregular es-en"
"<b>I felt</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>sentí</b><br><span style='font-size:85%'>sentir — to feel · yo</span>","preterito-indefinido irregular en-es"
"<b>sentiste</b><br><i>Pretérito perfecto simple</i>","<b>you felt</b><br><span style='font-size:85%'>sentir — to feel · tú</span>","preterito-indefinido irregular es-en"
"<b>you felt</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>sentiste</b><br><span style='font-size:85%'>sentir — to feel · tú</span>","preterito-indefinido irregular en-es"
"<b>sintió</b><br><i>Pretérito perfecto simple</i>","<b>he/she felt</b><br><span style='font-size:85%'>sentir — to feel · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she felt</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>sintió</b><br><span style='font-size:85%'>sentir — to feel · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>sentimos</b><br><i>Pretérito perfecto simple</i>","<b>we felt</b><br><span style='font-size:85%'>sentir — to feel · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we felt</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>sentimos</b><br><span style='font-size:85%'>sentir — to feel · nosotros</span>","preterito-indefinido irregular en-es"
"<b>sentisteis</b><br><i>Pretérito perfecto simple</i>","<b>you all felt</b><br><span style='font-size:85%'>sentir — to feel · vosotros</span>","preterito-indefinido irregular es-en"
