#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::01 Presente de indicativo
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Presente de indicativo</i>","<b>-ar</b>: o · as · a · amos · áis · an<br><b>-er</b>: o · es · e · emos · éis · en<br><b>-ir</b>: o · es · e · <b>imos</b> · <b>ís</b> · en","presente-indicativo endings"
"<b>I come</b><br><i>Presente de indicativo</i>","<b>vengo</b><br><span style='font-size:85%'>venir — to come · yo</span>","presente-indicativo irregular en-es"
"<b>vienes</b><br><i>Presente de indicativo</i>","<b>you come</b><br><span style='font-size:85%'>venir — to come · tú</span>","presente-indicativo irregular es-en"
"<b>you come</b><br><i>Presente de indicativo</i>","<b>vienes</b><br><span style='font-size:85%'>venir — to come · tú</span>","presente-indicativo irregular en-es"
"<b>viene</b><br><i>Presente de indicativo</i>","<b>he/she comes</b><br><span style='font-size:85%'>venir — to come · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she comes</b><br><i>Presente de indicativo</i>","<b>viene</b><br><span style='font-size:85%'>venir — to come · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>venimos</b><br><i>Presente de indicativo</i>","<b>we come</b><br><span style='font-size:85%'>venir — to come · nosotros</span>","presente-indicativo irregular es-en"
"<b>we come</b><br><i>Presente de indicativo</i>","<b>venimos</b><br><span style='font-size:85%'>venir — to come · nosotros</span>","presente-indicativo irregular en-es"
"<b>venís</b><br><i>Presente de indicativo</i>","<b>you all come</b><br><span style='font-size:85%'>venir — to come · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all come</b><br><i>Presente de indicativo</i>","<b>venís</b><br><span style='font-size:85%'>venir — to come · vosotros</span>","presente-indicativo irregular en-es"
"<b>vienen</b><br><i>Presente de indicativo</i>","<b>they come</b><br><span style='font-size:85%'>venir — to come · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they come</b><br><i>Presente de indicativo</i>","<b>vienen</b><br><span style='font-size:85%'>venir — to come · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>pongo</b><br><i>Presente de indicativo</i>","<b>I put</b><br><span style='font-size:85%'>poner — to put · yo</span>","presente-indicativo irregular es-en"
"<b>I put</b><br><i>Presente de indicativo</i>","<b>pongo</b><br><span style='font-size:85%'>poner — to put · yo</span>","presente-indicativo irregular en-es"
"<b>pones</b><br><i>Presente de indicativo</i>","<b>you put</b><br><span style='font-size:85%'>poner — to put · tú</span>","presente-indicativo irregular es-en"
"<b>you put</b><br><i>Presente de indicativo</i>","<b>pones</b><br><span style='font-size:85%'>poner — to put · tú</span>","presente-indicativo irregular en-es"
"<b>pone</b><br><i>Presente de indicativo</i>","<b>he/she puts</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she puts</b><br><i>Presente de indicativo</i>","<b>pone</b><br><span style='font-size:85%'>poner — to put · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>ponemos</b><br><i>Presente de indicativo</i>","<b>we put</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","presente-indicativo irregular es-en"
"<b>we put</b><br><i>Presente de indicativo</i>","<b>ponemos</b><br><span style='font-size:85%'>poner — to put · nosotros</span>","presente-indicativo irregular en-es"
"<b>ponéis</b><br><i>Presente de indicativo</i>","<b>you all put</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all put</b><br><i>Presente de indicativo</i>","<b>ponéis</b><br><span style='font-size:85%'>poner — to put · vosotros</span>","presente-indicativo irregular en-es"
"<b>ponen</b><br><i>Presente de indicativo</i>","<b>they put</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they put</b><br><i>Presente de indicativo</i>","<b>ponen</b><br><span style='font-size:85%'>poner — to put · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>salgo</b><br><i>Presente de indicativo</i>","<b>I leave</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · yo</span>","presente-indicativo irregular es-en"
"<b>I leave</b><br><span style='font-size:80%'>[go out, depart]</span><br><i>Presente de indicativo</i>","<b>salgo</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · yo</span>","presente-indicativo irregular en-es"
"<b>sales</b><br><i>Presente de indicativo</i>","<b>you leave</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · tú</span>","presente-indicativo irregular es-en"
"<b>you leave</b><br><span style='font-size:80%'>[go out, depart]</span><br><i>Presente de indicativo</i>","<b>sales</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · tú</span>","presente-indicativo irregular en-es"
"<b>sale</b><br><i>Presente de indicativo</i>","<b>he/she leaves</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she leaves</b><br><span style='font-size:80%'>[go out, depart]</span><br><i>Presente de indicativo</i>","<b>sale</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>salimos</b><br><i>Presente de indicativo</i>","<b>we leave</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we leave</b><br><span style='font-size:80%'>[go out, depart]</span><br><i>Presente de indicativo</i>","<b>salimos</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · nosotros</span>","presente-indicativo irregular en-es"
"<b>salís</b><br><i>Presente de indicativo</i>","<b>you all leave</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all leave</b><br><span style='font-size:80%'>[go out, depart]</span><br><i>Presente de indicativo</i>","<b>salís</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · vosotros</span>","presente-indicativo irregular en-es"
"<b>salen</b><br><i>Presente de indicativo</i>","<b>they leave</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they leave</b><br><span style='font-size:80%'>[go out, depart]</span><br><i>Presente de indicativo</i>","<b>salen</b><br><span style='font-size:85%'>salir — to leave (go out, depart) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>traigo</b><br><i>Presente de indicativo</i>","<b>I bring</b><br><span style='font-size:85%'>traer — to bring · yo</span>","presente-indicativo irregular es-en"
"<b>I bring</b><br><i>Presente de indicativo</i>","<b>traigo</b><br><span style='font-size:85%'>traer — to bring · yo</span>","presente-indicativo irregular en-es"
"<b>traes</b><br><i>Presente de indicativo</i>","<b>you bring</b><br><span style='font-size:85%'>traer — to bring · tú</span>","presente-indicativo irregular es-en"
"<b>you bring</b><br><i>Presente de indicativo</i>","<b>traes</b><br><span style='font-size:85%'>traer — to bring · tú</span>","presente-indicativo irregular en-es"
"<b>trae</b><br><i>Presente de indicativo</i>","<b>he/she brings</b><br><span style='font-size:85%'>traer — to bring · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she brings</b><br><i>Presente de indicativo</i>","<b>trae</b><br><span style='font-size:85%'>traer — to bring · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>traemos</b><br><i>Presente de indicativo</i>","<b>we bring</b><br><span style='font-size:85%'>traer — to bring · nosotros</span>","presente-indicativo irregular es-en"
"<b>we bring</b><br><i>Presente de indicativo</i>","<b>traemos</b><br><span style='font-size:85%'>traer — to bring · nosotros</span>","presente-indicativo irregular en-es"
"<b>traéis</b><br><i>Presente de indicativo</i>","<b>you all bring</b><br><span style='font-size:85%'>traer — to bring · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all bring</b><br><i>Presente de indicativo</i>","<b>traéis</b><br><span style='font-size:85%'>traer — to bring · vosotros</span>","presente-indicativo irregular en-es"
"<b>traen</b><br><i>Presente de indicativo</i>","<b>they bring</b><br><span style='font-size:85%'>traer — to bring · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they bring</b><br><i>Presente de indicativo</i>","<b>traen</b><br><span style='font-size:85%'>traer — to bring · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>oigo</b><br><i>Presente de indicativo</i>","<b>I hear</b><br><span style='font-size:85%'>oír — to hear · yo</span>","presente-indicativo irregular es-en"
"<b>I hear</b><br><i>Presente de indicativo</i>","<b>oigo</b><br><span style='font-size:85%'>oír — to hear · yo</span>","presente-indicativo irregular en-es"
"<b>oyes</b><br><i>Presente de indicativo</i>","<b>you hear</b><br><span style='font-size:85%'>oír — to hear · tú</span>","presente-indicativo irregular es-en"
"<b>you hear</b><br><i>Presente de indicativo</i>","<b>oyes</b><br><span style='font-size:85%'>oír — to hear · tú</span>","presente-indicativo irregular en-es"
"<b>oye</b><br><i>Presente de indicativo</i>","<b>he/she hears</b><br><span style='font-size:85%'>oír — to hear · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she hears</b><br><i>Presente de indicativo</i>","<b>oye</b><br><span style='font-size:85%'>oír — to hear · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>oímos</b><br><i>Presente de indicativo</i>","<b>we hear</b><br><span style='font-size:85%'>oír — to hear · nosotros</span>","presente-indicativo irregular es-en"
"<b>we hear</b><br><i>Presente de indicativo</i>","<b>oímos</b><br><span style='font-size:85%'>oír — to hear · nosotros</span>","presente-indicativo irregular en-es"
"<b>oís</b><br><i>Presente de indicativo</i>","<b>you all hear</b><br><span style='font-size:85%'>oír — to hear · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all hear</b><br><i>Presente de indicativo</i>","<b>oís</b><br><span style='font-size:85%'>oír — to hear · vosotros</span>","presente-indicativo irregular en-es"
"<b>oyen</b><br><i>Presente de indicativo</i>","<b>they hear</b><br><span style='font-size:85%'>oír — to hear · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they hear</b><br><i>Presente de indicativo</i>","<b>oyen</b><br><span style='font-size:85%'>oír — to hear · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>conozco</b><br><i>Presente de indicativo</i>","<b>I know</b><br><span style='font-size:85%'>conocer — to know (a person or place) · yo</span>","presente-indicativo irregular es-en"
"<b>I know</b><br><span style='font-size:80%'>[a person or place]</span><br><i>Presente de indicativo</i>","<b>conozco</b><br><span style='font-size:85%'>conocer — to know (a person or place) · yo</span>","presente-indicativo irregular en-es"
"<b>conoces</b><br><i>Presente de indicativo</i>","<b>you know</b><br><span style='font-size:85%'>conocer — to know (a person or place) · tú</span>","presente-indicativo irregular es-en"
"<b>you know</b><br><span style='font-size:80%'>[a person or place]</span><br><i>Presente de indicativo</i>","<b>conoces</b><br><span style='font-size:85%'>conocer — to know (a person or place) · tú</span>","presente-indicativo irregular en-es"
"<b>conoce</b><br><i>Presente de indicativo</i>","<b>he/she knows</b><br><span style='font-size:85%'>conocer — to know (a person or place) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she knows</b><br><span style='font-size:80%'>[a person or place]</span><br><i>Presente de indicativo</i>","<b>conoce</b><br><span style='font-size:85%'>conocer — to know (a person or place) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>conocemos</b><br><i>Presente de indicativo</i>","<b>we know</b><br><span style='font-size:85%'>conocer — to know (a person or place) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we know</b><br><span style='font-size:80%'>[a person or place]</span><br><i>Presente de indicativo</i>","<b>conocemos</b><br><span style='font-size:85%'>conocer — to know (a person or place) · nosotros</span>","presente-indicativo irregular en-es"
"<b>conocéis</b><br><i>Presente de indicativo</i>","<b>you all know</b><br><span style='font-size:85%'>conocer — to know (a person or place) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all know</b><br><span style='font-size:80%'>[a person or place]</span><br><i>Presente de indicativo</i>","<b>conocéis</b><br><span style='font-size:85%'>conocer — to know (a person or place) · vosotros</span>","presente-indicativo irregular en-es"
"<b>conocen</b><br><i>Presente de indicativo</i>","<b>they know</b><br><span style='font-size:85%'>conocer — to know (a person or place) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they know</b><br><span style='font-size:80%'>[a person or place]</span><br><i>Presente de indicativo</i>","<b>conocen</b><br><span style='font-size:85%'>conocer — to know (a person or place) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>puedo</b><br><i>Presente de indicativo</i>","<b>I can</b><br><span style='font-size:85%'>poder — to be able to (ability) · yo</span>","presente-indicativo irregular es-en"
"<b>I can</b><br><span style='font-size:80%'>[ability]</span><br><i>Presente de indicativo</i>","<b>puedo</b><br><span style='font-size:85%'>poder — to be able to (ability) · yo</span>","presente-indicativo irregular en-es"
"<b>puedes</b><br><i>Presente de indicativo</i>","<b>you can</b><br><span style='font-size:85%'>poder — to be able to (ability) · tú</span>","presente-indicativo irregular es-en"
"<b>you can</b><br><span style='font-size:80%'>[ability]</span><br><i>Presente de indicativo</i>","<b>puedes</b><br><span style='font-size:85%'>poder — to be able to (ability) · tú</span>","presente-indicativo irregular en-es"
"<b>puede</b><br><i>Presente de indicativo</i>","<b>he/she can</b><br><span style='font-size:85%'>poder — to be able to (ability) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she can</b><br><span style='font-size:80%'>[ability]</span><br><i>Presente de indicativo</i>","<b>puede</b><br><span style='font-size:85%'>poder — to be able to (ability) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>podemos</b><br><i>Presente de indicativo</i>","<b>we can</b><br><span style='font-size:85%'>poder — to be able to (ability) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we can</b><br><span style='font-size:80%'>[ability]</span><br><i>Presente de indicativo</i>","<b>podemos</b><br><span style='font-size:85%'>poder — to be able to (ability) · nosotros</span>","presente-indicativo irregular en-es"
"<b>podéis</b><br><i>Presente de indicativo</i>","<b>you all can</b><br><span style='font-size:85%'>poder — to be able to (ability) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all can</b><br><span style='font-size:80%'>[ability]</span><br><i>Presente de indicativo</i>","<b>podéis</b><br><span style='font-size:85%'>poder — to be able to (ability) · vosotros</span>","presente-indicativo irregular en-es"
"<b>pueden</b><br><i>Presente de indicativo</i>","<b>they can</b><br><span style='font-size:85%'>poder — to be able to (ability) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they can</b><br><span style='font-size:80%'>[ability]</span><br><i>Presente de indicativo</i>","<b>pueden</b><br><span style='font-size:85%'>poder — to be able to (ability) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>quiero</b><br><i>Presente de indicativo</i>","<b>I want</b><br><span style='font-size:85%'>querer — to want · yo</span>","presente-indicativo irregular es-en"
"<b>I want</b><br><i>Presente de indicativo</i>","<b>quiero</b><br><span style='font-size:85%'>querer — to want · yo</span>","presente-indicativo irregular en-es"
"<b>quieres</b><br><i>Presente de indicativo</i>","<b>you want</b><br><span style='font-size:85%'>querer — to want · tú</span>","presente-indicativo irregular es-en"
"<b>you want</b><br><i>Presente de indicativo</i>","<b>quieres</b><br><span style='font-size:85%'>querer — to want · tú</span>","presente-indicativo irregular en-es"
"<b>quiere</b><br><i>Presente de indicativo</i>","<b>he/she wants</b><br><span style='font-size:85%'>querer — to want · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she wants</b><br><i>Presente de indicativo</i>","<b>quiere</b><br><span style='font-size:85%'>querer — to want · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>queremos</b><br><i>Presente de indicativo</i>","<b>we want</b><br><span style='font-size:85%'>querer — to want · nosotros</span>","presente-indicativo irregular es-en"
"<b>we want</b><br><i>Presente de indicativo</i>","<b>queremos</b><br><span style='font-size:85%'>querer — to want · nosotros</span>","presente-indicativo irregular en-es"
"<b>queréis</b><br><i>Presente de indicativo</i>","<b>you all want</b><br><span style='font-size:85%'>querer — to want · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all want</b><br><i>Presente de indicativo</i>","<b>queréis</b><br><span style='font-size:85%'>querer — to want · vosotros</span>","presente-indicativo irregular en-es"
"<b>quieren</b><br><i>Presente de indicativo</i>","<b>they want</b><br><span style='font-size:85%'>querer — to want · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they want</b><br><i>Presente de indicativo</i>","<b>quieren</b><br><span style='font-size:85%'>querer — to want · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>pienso</b><br><i>Presente de indicativo</i>","<b>I think</b><br><span style='font-size:85%'>pensar — to think · yo</span>","presente-indicativo irregular es-en"
"<b>I think</b><br><i>Presente de indicativo</i>","<b>pienso</b><br><span style='font-size:85%'>pensar — to think · yo</span>","presente-indicativo irregular en-es"
"<b>piensas</b><br><i>Presente de indicativo</i>","<b>you think</b><br><span style='font-size:85%'>pensar — to think · tú</span>","presente-indicativo irregular es-en"
"<b>you think</b><br><i>Presente de indicativo</i>","<b>piensas</b><br><span style='font-size:85%'>pensar — to think · tú</span>","presente-indicativo irregular en-es"
"<b>piensa</b><br><i>Presente de indicativo</i>","<b>he/she thinks</b><br><span style='font-size:85%'>pensar — to think · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she thinks</b><br><i>Presente de indicativo</i>","<b>piensa</b><br><span style='font-size:85%'>pensar — to think · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>pensamos</b><br><i>Presente de indicativo</i>","<b>we think</b><br><span style='font-size:85%'>pensar — to think · nosotros</span>","presente-indicativo irregular es-en"
"<b>we think</b><br><i>Presente de indicativo</i>","<b>pensamos</b><br><span style='font-size:85%'>pensar — to think · nosotros</span>","presente-indicativo irregular en-es"
"<b>pensáis</b><br><i>Presente de indicativo</i>","<b>you all think</b><br><span style='font-size:85%'>pensar — to think · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all think</b><br><i>Presente de indicativo</i>","<b>pensáis</b><br><span style='font-size:85%'>pensar — to think · vosotros</span>","presente-indicativo irregular en-es"
"<b>piensan</b><br><i>Presente de indicativo</i>","<b>they think</b><br><span style='font-size:85%'>pensar — to think · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they think</b><br><i>Presente de indicativo</i>","<b>piensan</b><br><span style='font-size:85%'>pensar — to think · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>vuelvo</b><br><i>Presente de indicativo</i>","<b>I return</b><br><span style='font-size:85%'>volver — to return (come back) · yo</span>","presente-indicativo irregular es-en"
"<b>I return</b><br><span style='font-size:80%'>[come back]</span><br><i>Presente de indicativo</i>","<b>vuelvo</b><br><span style='font-size:85%'>volver — to return (come back) · yo</span>","presente-indicativo irregular en-es"
"<b>vuelves</b><br><i>Presente de indicativo</i>","<b>you return</b><br><span style='font-size:85%'>volver — to return (come back) · tú</span>","presente-indicativo irregular es-en"
"<b>you return</b><br><span style='font-size:80%'>[come back]</span><br><i>Presente de indicativo</i>","<b>vuelves</b><br><span style='font-size:85%'>volver — to return (come back) · tú</span>","presente-indicativo irregular en-es"
"<b>vuelve</b><br><i>Presente de indicativo</i>","<b>he/she returns</b><br><span style='font-size:85%'>volver — to return (come back) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she returns</b><br><span style='font-size:80%'>[come back]</span><br><i>Presente de indicativo</i>","<b>vuelve</b><br><span style='font-size:85%'>volver — to return (come back) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>volvemos</b><br><i>Presente de indicativo</i>","<b>we return</b><br><span style='font-size:85%'>volver — to return (come back) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we return</b><br><span style='font-size:80%'>[come back]</span><br><i>Presente de indicativo</i>","<b>volvemos</b><br><span style='font-size:85%'>volver — to return (come back) · nosotros</span>","presente-indicativo irregular en-es"
"<b>volvéis</b><br><i>Presente de indicativo</i>","<b>you all return</b><br><span style='font-size:85%'>volver — to return (come back) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all return</b><br><span style='font-size:80%'>[come back]</span><br><i>Presente de indicativo</i>","<b>volvéis</b><br><span style='font-size:85%'>volver — to return (come back) · vosotros</span>","presente-indicativo irregular en-es"
"<b>vuelven</b><br><i>Presente de indicativo</i>","<b>they return</b><br><span style='font-size:85%'>volver — to return (come back) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they return</b><br><span style='font-size:80%'>[come back]</span><br><i>Presente de indicativo</i>","<b>vuelven</b><br><span style='font-size:85%'>volver — to return (come back) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>pido</b><br><i>Presente de indicativo</i>","<b>I ask for</b><br><span style='font-size:85%'>pedir — to ask for (request) · yo</span>","presente-indicativo irregular es-en"
"<b>I ask for</b><br><span style='font-size:80%'>[request]</span><br><i>Presente de indicativo</i>","<b>pido</b><br><span style='font-size:85%'>pedir — to ask for (request) · yo</span>","presente-indicativo irregular en-es"
"<b>pides</b><br><i>Presente de indicativo</i>","<b>you ask for</b><br><span style='font-size:85%'>pedir — to ask for (request) · tú</span>","presente-indicativo irregular es-en"
"<b>you ask for</b><br><span style='font-size:80%'>[request]</span><br><i>Presente de indicativo</i>","<b>pides</b><br><span style='font-size:85%'>pedir — to ask for (request) · tú</span>","presente-indicativo irregular en-es"
"<b>pide</b><br><i>Presente de indicativo</i>","<b>he/she asks for</b><br><span style='font-size:85%'>pedir — to ask for (request) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she asks for</b><br><span style='font-size:80%'>[request]</span><br><i>Presente de indicativo</i>","<b>pide</b><br><span style='font-size:85%'>pedir — to ask for (request) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>pedimos</b><br><i>Presente de indicativo</i>","<b>we ask for</b><br><span style='font-size:85%'>pedir — to ask for (request) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we ask for</b><br><span style='font-size:80%'>[request]</span><br><i>Presente de indicativo</i>","<b>pedimos</b><br><span style='font-size:85%'>pedir — to ask for (request) · nosotros</span>","presente-indicativo irregular en-es"
"<b>pedís</b><br><i>Presente de indicativo</i>","<b>you all ask for</b><br><span style='font-size:85%'>pedir — to ask for (request) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all ask for</b><br><span style='font-size:80%'>[request]</span><br><i>Presente de indicativo</i>","<b>pedís</b><br><span style='font-size:85%'>pedir — to ask for (request) · vosotros</span>","presente-indicativo irregular en-es"
"<b>piden</b><br><i>Presente de indicativo</i>","<b>they ask for</b><br><span style='font-size:85%'>pedir — to ask for (request) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they ask for</b><br><span style='font-size:80%'>[request]</span><br><i>Presente de indicativo</i>","<b>piden</b><br><span style='font-size:85%'>pedir — to ask for (request) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>duermo</b><br><i>Presente de indicativo</i>","<b>I sleep</b><br><span style='font-size:85%'>dormir — to sleep · yo</span>","presente-indicativo irregular es-en"
"<b>I sleep</b><br><i>Presente de indicativo</i>","<b>duermo</b><br><span style='font-size:85%'>dormir — to sleep · yo</span>","presente-indicativo irregular en-es"
"<b>duermes</b><br><i>Presente de indicativo</i>","<b>you sleep</b><br><span style='font-size:85%'>dormir — to sleep · tú</span>","presente-indicativo irregular es-en"
"<b>you sleep</b><br><i>Presente de indicativo</i>","<b>duermes</b><br><span style='font-size:85%'>dormir — to sleep · tú</span>","presente-indicativo irregular en-es"
"<b>duerme</b><br><i>Presente de indicativo</i>","<b>he/she sleeps</b><br><span style='font-size:85%'>dormir — to sleep · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she sleeps</b><br><i>Presente de indicativo</i>","<b>duerme</b><br><span style='font-size:85%'>dormir — to sleep · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>dormimos</b><br><i>Presente de indicativo</i>","<b>we sleep</b><br><span style='font-size:85%'>dormir — to sleep · nosotros</span>","presente-indicativo irregular es-en"
"<b>we sleep</b><br><i>Presente de indicativo</i>","<b>dormimos</b><br><span style='font-size:85%'>dormir — to sleep · nosotros</span>","presente-indicativo irregular en-es"
"<b>dormís</b><br><i>Presente de indicativo</i>","<b>you all sleep</b><br><span style='font-size:85%'>dormir — to sleep · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all sleep</b><br><i>Presente de indicativo</i>","<b>dormís</b><br><span style='font-size:85%'>dormir — to sleep · vosotros</span>","presente-indicativo irregular en-es"
"<b>duermen</b><br><i>Presente de indicativo</i>","<b>they sleep</b><br><span style='font-size:85%'>dormir — to sleep · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they sleep</b><br><i>Presente de indicativo</i>","<b>duermen</b><br><span style='font-size:85%'>dormir — to sleep · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>juego</b><br><i>Presente de indicativo</i>","<b>I play</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · yo</span>","presente-indicativo irregular es-en"
"<b>I play</b><br><span style='font-size:80%'>[a game or sport]</span><br><i>Presente de indicativo</i>","<b>juego</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · yo</span>","presente-indicativo irregular en-es"
"<b>juegas</b><br><i>Presente de indicativo</i>","<b>you play</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · tú</span>","presente-indicativo irregular es-en"
"<b>you play</b><br><span style='font-size:80%'>[a game or sport]</span><br><i>Presente de indicativo</i>","<b>juegas</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · tú</span>","presente-indicativo irregular en-es"
"<b>juega</b><br><i>Presente de indicativo</i>","<b>he/she plays</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she plays</b><br><span style='font-size:80%'>[a game or sport]</span><br><i>Presente de indicativo</i>","<b>juega</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>jugamos</b><br><i>Presente de indicativo</i>","<b>we play</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we play</b><br><span style='font-size:80%'>[a game or sport]</span><br><i>Presente de indicativo</i>","<b>jugamos</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · nosotros</span>","presente-indicativo irregular en-es"
"<b>jugáis</b><br><i>Presente de indicativo</i>","<b>you all play</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all play</b><br><span style='font-size:80%'>[a game or sport]</span><br><i>Presente de indicativo</i>","<b>jugáis</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · vosotros</span>","presente-indicativo irregular en-es"
"<b>juegan</b><br><i>Presente de indicativo</i>","<b>they play</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they play</b><br><span style='font-size:80%'>[a game or sport]</span><br><i>Presente de indicativo</i>","<b>juegan</b><br><span style='font-size:85%'>jugar — to play (a game or sport) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"<b>sigo</b><br><i>Presente de indicativo</i>","<b>I follow</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · yo</span>","presente-indicativo irregular es-en"
"<b>I follow</b><br><span style='font-size:80%'>[follow or continue]</span><br><i>Presente de indicativo</i>","<b>sigo</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · yo</span>","presente-indicativo irregular en-es"
"<b>sigues</b><br><i>Presente de indicativo</i>","<b>you follow</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · tú</span>","presente-indicativo irregular es-en"
